project,kloc,developers,pcode_maintainability,tcode_quality,earliest_snapshot,latest_snapshot
apache_ant,100,17,3.201,2.693,18/07/2000,13/03/2008
apache_ivy,37,6,3.022,3.330,17/12/2006,26/09/2009
apache_lucene,82,19,2.795,2.917,02/08/2004,06/11/2009
apache_tomcat,159,13,2.531,1.595,21/10/2006,07/03/2009
argouml,163,19,2.915,2.733,12/03/2003,19/01/2010
checkstyle,47,6,3.677,2.413,05/02/2002,18/04/2009
hibernate_code,105,14,2.934,2.413,18/04/2005,15/08/2008
hsqldb,69,8,2.390,2.039,06/10/2002,09/09/2009
ibatis,30,4,2.999,2.868,16/05/2005,12/10/2009
jabref,83,17,2.574,2.727,28/11/2004,02/09/2009
jmol,92,9,2.208,1.814,06/06/2006,10/12/2007
log4j,12,6,3.966,2.365,17/05/2002,05/09/2007
omegat,112,6,3.278,2.448,20/06/2006,12/02/2010
pmd,35,15,3.865,2.975,14/07/2004,09/02/2009
spring_framework,145,23,3.758,3.123,13/05/2005,16/12/2009
stripes_framework,17,6,3.704,3.123,29/09/2006,28/10/2009
subclipse,93,10,2.348,2.449,11/04/2006,11/08/2009
triplea,99,4,2.493,2.449,21/07/2007,06/03/2010